table,rows,hasModel,callers,component,emptyClass,compClass,refCols
goal_likes,0,true,0,main,modelled-uncalled,,goalId|userId
goal_milestones,0,true,0,main,modelled-uncalled,,goalId|badgeId
goal_supporters,0,true,0,main,modelled-uncalled,,goalId|supporterId
goals,4,true,51,main,,,userId|challengeId|externalId
hermes_tasks,0,true,0,main,modelled-uncalled,,
history_backfill_runs,0,true,1,main,modelled-called,,userId|trainerId
immigration_documents,41,false,3,main,,,user_id
immigration_tasks,53,false,3,main,,,user_id
knowledge_concepts,0,false,0,detached(1),unmodelled,truly-isolated,
knowledge_rules,0,false,0,main,unmodelled,,approvedByUserId|createdByUserId
knowledge_sources,10,false,0,main,,,reviewedByUserId|createdByUserId
lead_activities,19,true,0,detached(2),,drift-suspect,lead_id|performed_by_user_id
leads,12,true,13,detached(2),,drift-suspect,scheduled_session_id|converted_user_id|gallery_visitor_id|referred_by_user_id|assigned_trainer_id
long_term_program_plans,0,true,0,main,modelled-uncalled,,userId|aiGenerationRequestId|createdByUserId|approvedByUserId
magic_login_tokens,0,true,0,main,modelled-uncalled,,userId
marketing_calendar_items,0,true,0,detached(1),modelled-uncalled,app-ref,campaignId|postizPostId
marketing_campaigns,0,true,0,main,modelled-uncalled,,
measurement_milestones,0,true,2,main,modelled-called,,userId|measurementId
media_assets,0,true,1,main,modelled-called,,project_id|owner_user_id|job_id|exercise_id
message_receipts,0,false,5,main,unmodelled,,message_id|user_id
messages,9,true,54,main,,,conversation_id|sender_id|sender_device_id
migration_quarantine,1,false,1,detached(1),,truly-isolated,
movement_analyses,3,true,1,main,,,userId
movement_assessments,0,false,1,main,unmodelled,,client_id|assessor_trainer_id
movement_profiles,0,true,1,main,modelled-called,,userId|lastAnalysisId
muscle_groups,0,true,0,main,modelled-uncalled,,
notification_read_state,0,true,1,main,modelled-called,,adminId|refId
notification_settings,0,true,0,detached(1),modelled-uncalled,truly-isolated,
notifications,5,true,37,main,,,userId|senderId|relatedEntityId
nudge_dispatches,0,false,1,main,unmodelled,,userId
nutrition_log_revisions,0,true,1,detached(1),modelled-called,app-ref,macroLogId|ownerUserId|actorUserId
nutrition_source_records,0,true,0,main,modelled-uncalled,,userId|loggedByUserId|draftId
nutrition_targets,0,true,1,main,modelled-called,,userId
olympic_events,0,true,1,main,modelled-called,,userId
order_items,0,true,5,main,modelled-called,,orderId|storefrontItemId|productVariantId
orders,1,true,39,main,,,userId|cartId|trainer_id|paymentId|stripePaymentIntentId
orientations,0,true,3,main,modelled-called,,userId
packages,0,true,45,main,modelled-called,,
page_views,409,true,0,detached(1),,truly-isolated,
pain_entry_revisions,0,true,0,main,modelled-uncalled,,painEntryId|changedById
pending_movement_analysis_matches,4,true,0,main,,,movementAnalysisId|candidateUserId|reviewedByUserId
pending_waiver_matches,0,true,0,main,modelled-uncalled,,waiverRecordId|candidateUserId|reviewedByUserId
personal_records,0,true,6,main,modelled-called,,userId|sessionId|formId
phase_progression_history,0,false,1,main,unmodelled,,client_id|trainer_id
plaud_clip_mirror_jobs,2,true,4,main,,,clip_id
plaud_clips,2,true,11,main,,,clip_id|user_id|client_id|clip_external_id|applaud_event_id
plaud_merge_locks,0,true,3,main,modelled-called,,user_id|job_id
plaud_merge_requests,0,true,6,main,modelled-called,,merge_request_id|user_id|client_id|approved_workout_form_id|cipher_key_id
plaud_webhook_nonces,0,true,3,detached(1),modelled-called,truly-isolated,
print_orders,0,true,3,detached(1),modelled-called,app-ref,visitor_id|photo_id|event_id|stripe_session_id|print_provider_order_id
processed_stripe_sessions,0,false,3,detached(1),unmodelled,drift-suspect,userId|sessionId
product_variants,0,true,0,main,modelled-uncalled,,storefrontItemId
program_mesocycle_blocks,0,true,0,main,modelled-uncalled,,planId
progress_data,0,true,0,main,modelled-uncalled,,userId|challengeId|externalId
progress_reports,0,true,2,main,modelled-called,,userId|baselineMeasurementId|latestMeasurementId
recovery_activity_logs,0,true,0,main,modelled-uncalled,,userId|exerciseId
recovery_completions,0,true,1,main,modelled-called,,userId
render_agents,2,false,2,main,,,
renewal_alerts,0,true,2,main,modelled-called,,userId
rule_conflicts,0,false,0,main,unmodelled,,ruleAId|ruleBId|resolvedByUserId
rule_sources,0,false,0,main,unmodelled,,ruleId|sourceId
rule_versions,0,false,0,main,unmodelled,,ruleId|changedByUserId
service_credentials,0,false,0,detached(1),unmodelled,truly-isolated,
session_logs,0,false,1,main,unmodelled,,client_id|trainer_id|workout_template_id
session_packages,0,true,0,detached(1),modelled-uncalled,truly-isolated,
session_types,10,true,1,main,,,
sessions,12,true,191,main,,,userId|trainerId|recurringGroupId|sessionTypeId|bookedByAdminId
sets,0,true,84,main,modelled-called,,workoutExerciseId
shopping_carts,8,true,7,main,,,userId|checkoutSessionId|paymentIntentId
sms_suppressions,0,true,0,detached(1),modelled-uncalled,app-ref,message_sid
social_publishing_accounts,0,true,1,detached(1),modelled-called,app-ref,providerAccountId|credentialKeyId
social_publishing_attempts,0,true,1,detached(1),modelled-called,app-ref,jobId|accountId|providerPostId
social_publishing_jobs,0,true,1,detached(1),modelled-called,truly-isolated,
source_files,0,false,0,main,unmodelled,,sourceId
sprint_class_slots,0,true,0,main,modelled-uncalled,,weekId|sprintId|templateId|classLogId
sprint_exercise_memory,0,true,0,main,modelled-uncalled,,sprintId|slotId
sprint_weeks,0,true,0,main,modelled-uncalled,,sprintId
storefront_items,7,true,11,main,,,stripeProductId|stripePriceId
streaks,0,true,20,main,modelled-called,,userId
study_progress,0,false,1,main,unmodelled,,user_id
subscribers,1,true,2,detached(1),,truly-isolated,
subscriptions,3,true,4,main,,,userId|stripeSubscriptionId|stripeCustomerId
support_issue_events,0,true,0,main,modelled-uncalled,,issue_id|actor_user_id
support_issues,0,true,0,main,modelled-uncalled,,reporter_user_id|client_request_id|assigned_owner_user_id|duplicate_of_issue_id
tax_config,1,true,0,detached(1),,truly-isolated,
